LegacyTypeIdentity	StableFullName	CurrentAssembly	CurrentTypeIdentity	MigrationPolicy
XREngine.Rendering.UI.UITextComponent, XREngine	XREngine.Rendering.UI.UITextComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UITextComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UITextInputComponent, XREngine	XREngine.Rendering.UI.UITextInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UITextInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIToggleComponent, XREngine	XREngine.Rendering.UI.UIToggleComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIToggleComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UITransform, XREngine	XREngine.Rendering.UI.UITransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UITransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UITreeItemTransform, XREngine	XREngine.Rendering.UI.UITreeItemTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UITreeItemTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UITreeTransform, XREngine	XREngine.Rendering.UI.UITreeTransform	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UITreeTransform, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIUIntInputComponent, XREngine	XREngine.Rendering.UI.UIUIntInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIUIntInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIULongInputComponent, XREngine	XREngine.Rendering.UI.UIULongInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIULongInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIUShortInputComponent, XREngine	XREngine.Rendering.UI.UIUShortInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIUShortInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIVideoComponent, XREngine	XREngine.Rendering.UI.UIVideoComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIVideoComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIViewportComponent, XREngine	XREngine.Rendering.UI.UIViewportComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIViewportComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIWebViewComponent, XREngine	XREngine.Rendering.UI.UIWebViewComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIWebViewComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UIWebViewInputComponent, XREngine	XREngine.Rendering.UI.UIWebViewInputComponent	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UIWebViewInputComponent, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.UltralightWebRendererBackend, XREngine	XREngine.Rendering.UI.UltralightWebRendererBackend	XREngine.Runtime.Rendering	XREngine.Rendering.UI.UltralightWebRendererBackend, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.WebFrame, XREngine	XREngine.Rendering.UI.WebFrame	XREngine.Runtime.Rendering	XREngine.Rendering.UI.WebFrame, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.Rendering.UI.WebMouseButton, XREngine	XREngine.Rendering.UI.WebMouseButton	XREngine.Runtime.Rendering	XREngine.Rendering.UI.WebMouseButton, XREngine.Runtime.Rendering	StableFullNameFallback
XREngine.RootNodeCollection, XREngine	XREngine.RootNodeCollection	XREngine.Runtime.Core	XREngine.RootNodeCollection, XREngine.Runtime.Core	StableFullNameFallback
XREngine.Scene.WorldSettings, XREngine	XREngine.Scene.WorldSettings	XREngine.Runtime.Core	XREngine.Scene.WorldSettings, XREngine.Runtime.Core	StableFullNameFallback
XREngine.Scene.XRScene, XREngine	XREngine.Scene.XRScene	XREngine.Runtime.Core	XREngine.Scene.XRScene, XREngine.Runtime.Core	StableFullNameFallback
XREngine.Scene.XRWorld, XREngine	XREngine.Scene.XRWorld	XREngine.Runtime.Core	XREngine.Scene.XRWorld, XREngine.Runtime.Core	StableFullNameFallback
XREngine.XRWorldObjectBase, XREngine	XREngine.XRWorldObjectBase	XREngine.Runtime.Core	XREngine.XRWorldObjectBase, XREngine.Runtime.Core	StableFullNameFallback
